,Title,Album,Artist,Duration (ms),Rating,Play Count,Removed
0,Behti Hawa Sa Tha Woh,3 Idiots,Shantanu Moitra,299000,5,14,
0,Being For The Benefit Of Mr. Kite! (Remastered),Sgt. Pepper&#39;s Lonely Hearts Club Band (Remastered),The Beatles,157000,0,5,
0,Bekaraan,7 Khoon Maaf,Vishal Bhardwaj,386000,0,0,
0,Bekaraar (Remix By Dipanjan Guha),Paathshaala,Lucky Ali,245000,1,0,
0,Bekarar,Paathshaala,Lucky Ali,262000,0,0,
0,Bekhudi,Taxi No. 9211 (Original Motion Picture Soundtrack),Shaan,273000,0,1,
0,Ben (2003 Live Edit),Number Ones,Michael Jackson,178000,0,0,
0,Besabriyaan,M.S.Dhoni - The Untold Story,Armaan Malik,255000,0,0,
0,Besharam (Remix By Dj Shiva),Besharam,Shree D,243000,1,1,
0,Besharam,Besharam,Shree D,218000,0,2,
0,Besharmi Ki Height (Remix By Dj Notorious),Main Tera Hero,Shalmali Kholgade,251000,1,1,
0,Besharmi Ki Height,Main Tera Hero,Shalmali Kholgade,289000,0,3,
0,Beta Bess Shal Tak (Dialogues),Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack),Amrish Puri,188000,1,0,
0,Beta Zindagi Ke Har Mod Par (Dialogues),Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack),Shah Rukh Khan,30000,1,0,
0,Bewafa Beauty,Blackmail,Pawni Pandey,281000,5,7,
0,Bezubaan (Piku),Piku,Anupam Roy,341000,0,0,
0,Bhaag Milkha Bhaag (Rock Version),Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Shankar Ehsaan Loy,279000,5,9,
0,Bhaag Milkha Bhaag,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Shankar Ehsaan Loy,269000,5,29,
0,Bhagwaan Hai Kahan Re Tu,Pk,Sonu Nigam,311000,5,16,
0,Bhaiyya,Gangs Of Wasseypur,The Musahar Of Sundarpur,186000,0,3,
0,Bhaiyyaji Ka Tashan,Tashan,Anil Kapoor,26000,1,0,
0,Bhangra Ta Sajda (No One Gives A Damn!) (Veere Di Wedding),Veere Di Wedding,"Neha Kakkar, Romy, Shashwat Sachdev",226000,0,0,
0,Bhar De Hamaara Glass,Karwaan,Saba Azad,150000,0,2,
0,Bhar Do Jholi Meri (Reprise),Bajrangi Bhaijaan,Imran Aziz Mian,484000,0,2,
0,Bhar Do Jholi Meri,Bajrangi Bhaijaan,Adnan Sami,499000,0,1,
0,Bhare Bazaar,Namaste England (Original Motion Picture Soundtrack),Rishi Rich,214000,0,1,
0,Bheegey Hont (Instrumental),Murder (Original Motion Picture Soundtrack),Anu Malik,272000,0,0,
0,Bheegey Hont (with Dialogues),Murder (Original Motion Picture Soundtrack),Kunal Ganjawala,326000,1,0,
0,Bheegey Hont,Murder (Original Motion Picture Soundtrack),Kunal Ganjawala,274000,0,0,
0,Bheegh Loon (Female - Remix by DJ Angel),Khamoshiyan (Original Motion Picture Soundtrack),Ankit Tiwari,195000,1,3,
0,Bheegh Loon (Female),Khamoshiyan (Original Motion Picture Soundtrack),Ankit Tiwari,247000,0,0,
0,Bheegh Loon (Male),Khamoshiyan (Original Motion Picture Soundtrack),Ankit Tiwari,247000,0,0,
0,Bheegi Si Bhaagi Si,Raajneeti (Original Motion Picture Soundtrack),Pritam,278000,0,14,
0,Bheja Kum,Taare Zameen Par,Bugs Bhargava,129000,0,1,
0,Bhool Bhulaiyaa (Remix By Dj Amyth),Bhool Bhulaiyaa,Neeraj Shridhar,304000,1,0,
0,Bhool Bhulaiyaa,Bhool Bhulaiyaa,Neeraj Shridhar,325000,0,2,
0,Bhoos,Gangs Of Wasseypur,Bhupesh Singh,309000,0,3,
0,Bhopu Baj Raha Hain,Sanju,Nakash Aziz,243000,0,6,
0,Bhor Bhaye,Delhi-6,Bade Ghulam Ali Khan,196000,0,3,
0,Bhor,Masaan,Amit Kilam,425000,0,2,
0,Bhula Dena,Aashiqui 2,Mustafa Zahid,240000,5,14,
0,Bhule Bisre Geet,Johnny Gaddaar,Geetanjali,360000,0,0,
0,Bicycle Race,Greatest Hits 1 &amp; 2,Queen,182000,0,1,
0,Big Scene,Con.Fi.Den.Tial,Diljit Dosanjh,207000,0,1,
0,Bijlee Giregi,Manmarziyaan,"Devender Pal Singh, Babu Haabi &amp; Sikander Kahlon",221701,0,4,
